candidate_no,presidential_candidate,party_initials,full_party_name,votes
1,Nana Addo Dankwa Akufo-Addo,NPP,New Patriotic Party,175240
2,John Dramani Mahama,NDC,National Democratic Congress,196556
3,Christian Kwabena Andrews,GUM,Ghana Union Movement,4302
4,Ivor Kobina Greenstreet,CPP,Convention People's Party,261
5,Akua Donkor,GFP,Ghana Freedom Party,119
6,Henry Herbert Lartey,GCPP,Great Consolidated Popular Party,109
7,Hassan Ayariga,APC,All People's Party,210
8,Percival Kofi Akpaloo,LPG,Liberal Party of Ghana,170
9,David Asibi Ayindenaba Apasera,PNC,People's National Convention,202
10,Brigitte Akosua Dzogbenuku,PPP,Progressive People's Party,86
11,Nana Konadu Agyeman-Rawlings,NDP,National Democratic Party,117
12,Alfred Kwame Asiedu Walker,IC,Independent Candidate,255
1,Nana Addo Dankwa Akufo-Addo,NPP,New Patriotic Party,100481
2,John Dramani Mahama,NDC,National Democratic Congress,606508
3,Christian Kwabena Andrews,GUM,Ghana Union Movement,4679
4,Ivor Kobina Greenstreet,CPP,Convention People's Party,705
5,Akua Donkor,GFP,Ghana Freedom Party,180
6,Henry Herbert Lartey,GCPP,Great Consolidated Popular Party,158
7,Hassan Ayariga,APC,All People's Party,406
8,Percival Kofi Akpaloo,LPG,Liberal Party of Ghana,237
9,David Asibi Ayindenaba Apasera,PNC,People's National Convention,220
10,Brigitte Akosua Dzogbenuku,PPP,Progressive People's Party,314
11,Nana Konadu Agyeman-Rawlings,NDP,National Democratic Party,617
12,Alfred Kwame Asiedu Walker,IC,Independent Candidate,442
